"price_period","price_value","summer_price","not_summer_price","comed_price","test_price1","test_price2"
"0","1.71","1.8","1.73","0","5.84","1.71"
"1","1.71","1.8","1.73","0","5.84","1.71"
"2","1.71","1.8","1.73","0","5.84","1.71"
"3","1.71","1.8","1.73","0","5.84","1.71"
"4","1.71","1.8","1.73","0","5.84","1.71"
"5","1.71","1.8","1.73","0","5.84","1.71"
"6","1.71","1.8","1.73","0","5.84","1.71"
"7","1.71","1.8","1.73","0","5.84","3.85"
"8","1.71","1.8","1.73","0","5.84","12.5"
"9","1.71","1.8","1.73","0","5.84","12.5"
"10","1.71","1.8","1.73","0","5.84","12.5"
"11","1.71","1.8","1.73","0","5.84","12.5"
"12","1.71","1.8","1.73","0","5.84","12.5"
"13","1.71","1.8","1.73","0","5.84","5.84"
"14","1.71","1.8","1.73","0","5.84","5.84"
"15","1.71","1.8","1.73","0","5.84","5.84"
"16","1.71","1.8","1.73","0","5.84","5.84"
"17","1.71","1.8","1.73","0","5.84","5.84"
"18","1.71","1.8","1.73","0","5.84","3.85"
"19","1.71","1.8","1.73","0","5.84","3.85"
"20","1.71","1.8","1.73","0","5.84","3.85"
"21","1.71","1.8","1.73","0","3.85","3.85"
"22","1.71","1.8","1.73","0","3.85","3.85"
"23","1.71","1.8","1.73","0","3.85","3.85"
"24","1.71","1.8","1.73","0","3.85","0"
"25","1.71","1.8","1.73","0","3.85","0"
"26","1.71","1.8","1.73","0","3.85","0"
"27","1.71","1.8","1.73","0","3.85","0"
"28","3.85","1.8","1.73","0","3.85","0"
"29","3.85","1.8","1.73","0","3.85","0"
"30","3.85","4.07","3.88","0","3.85","0"
"31","3.85","4.07","3.88","0","3.85","0"
"32","3.85","4.07","3.88","0","3.85","0"
"33","3.85","4.07","3.88","0","3.85","0"
"34","3.85","4.07","3.88","0","3.85","0"
"35","3.85","4.07","3.88","0","3.85","0"
"36","3.85","4.07","3.88","0","3.85","0"
"37","3.85","4.07","3.88","0","3.85","0"
"38","3.85","4.07","3.88","0","3.85","0"
"39","3.85","4.07","3.88","0","3.85","0"
"40","5.84","6.2","3.88","0","3.85","0"
"41","5.84","6.2","3.88","0","3.85","0"
"42","5.84","6.2","3.88","0","3.85","0"
"43","5.84","6.2","3.88","0","3.85","0"
"44","5.84","6.2","3.88","0","3.85","0"
"45","5.84","6.2","3.88","0","3.85","0"
"46","5.84","6.2","3.88","0","3.85","0"
"47","5.84","6.2","3.88","0","3.85","0"
"48","3.85","4.07","3.88","0","3.85","0"
"49","3.85","4.07","3.88","0","3.85","0"
"50","3.85","4.07","3.88","0","3.85","0"
"51","3.85","4.07","3.88","0","3.85","0"
"52","5.84","6.2","3.88","0","3.85","0"
"53","5.84","6.2","3.88","0","0","0"
"54","5.84","6.2","3.88","0","0","0"
"55","5.84","6.2","3.88","0","0","0"
"56","5.84","6.2","3.88","0","0","0"
"57","5.84","6.2","3.88","0","0","0"
"58","5.84","6.2","3.88","0","0","0"
"59","5.84","6.2","3.88","0","0","0"
"60","5.84","6.2","3.88","0","0","0"
"61","5.84","6.2","3.88","0","0","0"
"62","5.84","6.2","3.88","0","0","0"
"63","5.84","6.2","3.88","0","0","0"
"64","5.84","6.2","3.88","0","0","0"
"65","5.84","6.2","3.88","0","0","0"
"66","5.84","6.2","3.88","0","0","0"
"67","5.84","6.2","3.88","0","0","0"
"68","5.84","4.07","3.88","0","0","0"
"69","5.84","4.07","3.88","0","0","0"
"70","5.84","4.07","3.88","0","0","0"
"71","5.84","4.07","3.88","0","0","0"
"72","3.85","4.07","3.88","0","0","0"
"73","3.85","4.07","3.88","0","0","0"
"74","3.85","4.07","3.88","0","0","0"
"75","3.85","4.07","3.88","0","0","0"
"76","3.85","4.07","3.88","0","0","0"
"77","3.85","4.07","3.88","0","0","0"
"78","3.85","4.07","3.88","0","0","0"
"79","3.85","4.07","3.88","0","0","0"
"80","3.85","4.07","3.88","0","0","0"
"81","3.85","4.07","3.88","0","0","0"
"82","3.85","4.07","3.88","0","0","0"
"83","3.85","4.07","3.88","0","0","0"
"84","3.85","4.07","3.88","0","0","0"
"85","3.85","4.07","3.88","0","0","0"
"86","3.85","4.07","3.88","0","0","0"
"87","3.85","4.07","3.88","0","0","0"
"88","3.85","4.07","3.88","0","0","0"
"89","3.85","4.07","3.88","0","0","0"
"90","3.85","1.8","1.73","0","0","0"
"91","3.85","1.8","1.73","0","0","0"
"92","3.85","1.8","1.73","0","0","0"
"93","3.85","1.8","1.73","0","0","0"
"94","3.85","1.8","1.73","0","0","0"
"95","3.85","1.8","1.73","0","0","0"
